AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4124.61538434, 4127.05128178, 4123.20512793, 4113.33333306, 4105.25640998, 4111.41025614, 4109.23076896, 4101.92307658, 4106.15384588, 4112.82051255, 4117.56410229, 4116.53846126, 4108.46153819, 4125.25640998,0
4124.61538434, 4127.05128178, 4123.20512793, 4113.33333306, 4105.25640998, 4111.41025614, 4109.23076896, 4101.92307658, 4106.15384588, 4112.82051255, 4117.56410229, 4116.53846126, 4108.46153819, 4125.25640998,0
4111.41025614, 4122.30769203, 4124.10256383, 4119.10256383, 4116.41025614, 4116.53846126, 4116.15384588, 4109.48717921, 4115.64102537, 4111.28205101, 4133.58974332, 4124.61538434, 4110.64102537, 4115.64102537,0
4105.12820485, 4120.51282024, 4124.99999973, 4119.35897408, 4118.20512793, 4126.53846126, 4119.48717921, 4115.76923050, 4123.84615357, 4121.92307665, 4140.51282031, 4122.82051255, 4114.99999973, 4116.28205101,0
4110.12820485, 4110.12820485, 4112.56410229, 4104.23076896, 4118.97435870, 4104.87179460, 4100.89743555, 4098.20512786, 4103.46153819, 4109.48717921, 4116.79487152, 4103.71794844, 4103.97435870, 4128.46153819,0
4110.64102537, 4119.23076896, 4124.35897408, 4118.46153819, 4114.87179460, 4105.89743562, 4112.17948691, 4101.02564068, 4100.25640991, 4102.82051255, 4128.46153819, 4119.23076896, 4114.48717921, 4121.66666639,0
4110.64102537, 4119.23076896, 4124.35897408, 4118.46153819, 4114.87179460, 4105.89743562, 4112.17948691, 4101.02564068, 4100.25640991, 4102.82051255, 4128.46153819, 4119.23076896, 4114.48717921, 4121.66666639,0
4116.53846126, 4133.97435870, 4135.76923056, 4132.69230742, 4103.20512793, 4124.87179460, 4133.84615357, 4112.56410229, 4112.94871767, 4109.48717921, 4147.56410236, 4136.79487159, 4123.33333306, 4117.17948691,0
4123.97435870, 4124.35897408, 4119.61538434, 4118.97435870, 4102.05128171, 4116.66666639, 4120.64102537, 4101.15384581, 4111.92307665, 4108.46153819, 4125.89743562, 4118.84615357, 4103.20512793, 4128.33333306,0
4122.30769203, 4131.02564075, 4130.89743562, 4129.35897408, 4129.23076896, 4117.82051255, 4116.92307665, 4111.02564075, 4119.99999973, 4121.92307665, 4129.10256383, 4127.05128178, 4115.25640998, 4124.35897408,0
4120.38461511, 4143.84615364, 4147.17948697, 4146.02564082, 4141.28205108, 4125.38461511, 4125.25640998, 4135.12820485, 4131.53846126, 4132.17948691, 4150.76923056, 4146.92307672, 4144.99999980, 4119.99999973,0
4116.28205101, 4124.23076896, 4122.56410229, 4121.15384588, 4109.48717921, 4107.05128178, 4117.43589716, 4127.94871767, 4126.15384588, 4117.69230742, 4131.28205101, 4124.35897408, 4120.64102537, 4128.46153819,0
4110.76923050, 4111.79487152, 4110.12820485, 4102.56410229, 4085.38461504, 4104.35897408, 4111.79487152, 4116.79487152, 4124.48717921, 4118.20512793, 4117.56410229, 4108.07692280, 4097.30769196, 4125.12820485,0
4114.74358947, 4121.66666639, 4128.97435870, 4119.48717921, 4102.56410229, 4121.92307665, 4114.35897408, 4124.87179460, 4130.38461511, 4137.17948697, 4141.66666646, 4125.25640998, 4123.58974332, 4122.17948691,0
4118.97435870, 4124.23076896, 4130.38461511, 4129.74358947, 4116.15384588, 4122.56410229, 4117.82051255, 4126.41025614, 4124.23076896, 4135.51282031, 4155.64102544, 4132.69230742, 4141.02564082, 4128.84615357,0
4110.51282024, 4120.12820485, 4122.82051255, 4120.64102537, 4111.66666639, 4128.46153819, 4126.02564075, 4122.82051255, 4122.17948691, 4130.25640998, 4149.48717928, 4128.71794844, 4133.33333306, 4121.28205101,0
4111.92307665, 4113.20512793, 4122.17948691, 4102.17948684, 4113.46153819, 4124.87179460, 4119.10256383, 4117.30769203, 4126.66666639, 4128.71794844, 4139.61538441, 4123.84615357, 4122.05128178, 4118.20512793,0
4118.84615357, 4111.79487152, 4118.33333306, 4098.58974325, 4110.51282024, 4101.66666632, 4108.58974332, 4111.79487152, 4124.61538434, 4124.48717921, 4139.87179467, 4120.12820485, 4119.99999973, 4124.74358947,0
4116.41025614, 4134.48717921, 4132.69230742, 4125.64102537, 4111.66666639, 4117.17948691, 4129.99999973, 4122.43589716, 4131.66666639, 4150.89743569, 4168.84615371, 4139.61538441, 4152.30769210, 4118.58974332,0
4114.99999973, 4144.74358954, 4146.28205108, 4134.61538434, 4119.99999973, 4141.41025621, 4133.84615357, 4125.12820485, 4136.28205108, 4165.51282031, 4176.41025628, 4149.99999980, 4162.56410236, 4118.07692280,0
4115.12820485, 4121.15384588, 4126.02564075, 4107.94871767, 4105.51282024, 4115.64102537, 4100.25640991, 4103.71794844, 4117.17948691, 4124.74358947, 4140.64102544, 4123.71794844, 4115.25640998, 4128.58974332,0
4116.79487152, 4116.28205101, 4118.84615357, 4103.20512793, 4100.76923043, 4104.10256383, 4099.48717914, 4102.56410229, 4109.10256383, 4112.30769203, 4136.28205108, 4118.71794844, 4107.82051255, 4124.10256383,0
4127.94871767, 4140.12820492, 4145.38461518, 4131.15384588, 4131.53846126, 4131.92307665, 4129.99999973, 4128.46153819, 4133.07692280, 4152.56410236, 4167.69230749, 4148.84615364, 4153.20512800, 4121.79487152,0
4131.53846126, 4142.94871774, 4151.02564082, 4140.89743569, 4125.76923050, 4126.66666639, 4134.23076896, 4135.12820485, 4143.71794851, 4157.82051262, 4168.07692287, 4154.35897415, 4158.58974339, 4129.61538434,0
4113.46153819, 4131.15384588, 4134.74358947, 4128.58974332, 4092.82051248, 4110.64102537, 4127.17948691, 4128.07692280, 4135.38461518, 4141.66666646, 4154.10256390, 4139.35897415, 4136.15384595, 4120.64102537,0
4109.99999973, 4125.89743562, 4135.64102544, 4119.10256383, 4106.02564075, 4124.87179460, 4125.38461511, 4126.02564075, 4134.99999973, 4147.05128185, 4154.61538441, 4135.38461518, 4129.23076896, 4112.69230742,0
4122.43589716, 4119.48717921, 4138.33333313, 4116.79487152, 4127.56410229, 4128.46153819, 4115.51282024, 4114.23076896, 4123.07692280, 4138.07692287, 4151.66666646, 4131.02564075, 4124.61538434, 4120.51282024,0
4117.43589716, 4121.41025614, 4135.38461518, 4120.76923050, 4126.15384588, 4124.87179460, 4117.94871767, 4110.51282024, 4111.79487152, 4124.35897408, 4152.30769210, 4130.51282024, 4127.56410229, 4122.56410229,0
4112.30769203, 4128.07692280, 4138.46153826, 4123.20512793, 4136.28205108, 4131.28205101, 4126.15384588, 4120.38461511, 4120.38461511, 4131.53846126, 4153.58974339, 4136.28205108, 4134.23076896, 4118.97435870,0
4121.92307665, 4122.05128178, 4133.97435870, 4118.07692280, 4126.28205101, 4126.41025614, 4119.87179460, 4113.71794844, 4120.51282024, 4129.10256383, 4139.35897415, 4131.15384588, 4126.66666639, 4123.46153819,0
