AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4018.46153798, 4259.48717949, 4308.20512835, 4427.69230804, 4406.02564138, 4380.51282079, 4388.71794900, 4371.66666695, 4268.07692315, 4377.30769259, 4401.79487215, 3909.61538392, 4336.79487201, 4133.58974332,0
4023.58974311, 4241.79487180, 4312.82051296, 4420.38461574, 4405.38461574, 4379.48717977, 4383.84615413, 4385.89743618, 4278.20512828, 4397.17948746, 4413.97435933, 3917.17948649, 4352.56410278, 4132.56410229,0
4031.15384567, 4227.05128199, 4316.53846168, 4408.97435933, 4400.76923112, 4375.25641054, 4379.87179515, 4387.43589772, 4280.25641033, 4401.79487215, 4421.53846189, 3927.17948649, 4359.10256431, 4134.74358947,0
4016.79487131, 4199.35897422, 4299.87179501, 4395.00000028, 4385.64102592, 4356.53846175, 4366.41025669, 4354.87179508, 4261.79487180, 4367.30769259, 4409.48717984, 3910.76923008, 4332.69230790, 4132.56410229,0
4003.07692252, 4150.51282031, 4273.58974366, 4362.94871816, 4361.53846175, 4337.43589765, 4353.33333355, 4332.17948732, 4250.00000000, 4341.92307714, 4391.41025669, 3879.61538385, 4300.25641040, 4134.10256383,0
3996.53846099, 4109.48717921, 4252.30769231, 4333.07692329, 4342.43589765, 4319.35897450, 4339.35897457, 4330.51282066, 4251.79487180, 4333.20512842, 4370.76923105, 3853.46153763, 4273.84615392, 4135.51282031,0
3978.97435842, 4083.46153812, 4233.07692301, 4311.79487194, 4323.07692322, 4283.07692315, 4302.94871809, 4307.69230784, 4241.79487180, 4306.15384630, 4353.71794893, 3829.35897346, 4243.84615385, 4136.41025621,0
3966.28205066, 4047.43589702, 4207.94871788, 4284.23076930, 4288.07692315, 4238.20512821, 4262.56410257, 4274.35897443, 4226.28205122, 4269.74358982, 4333.71794893, 3800.25640929, 4210.76923070, 4140.25641005,0
3945.76923015, 3989.87179432, 4169.35897422, 4240.64102564, 4244.87179488, 4201.41025634, 4238.97435898, 4252.82051282, 4216.15384609, 4238.71794872, 4295.38461546, 3763.58974255, 4172.05128192, 4136.28205108,0
3913.58974290, 3913.84615316, 4116.15384588, 4166.02564082, 4183.97435884, 4143.20512800, 4193.97435884, 4210.76923070, 4193.07692294, 4183.07692294, 4239.61538462, 3705.12820395, 4113.33333306, 4135.89743569,0
3885.25640950, 3848.97435814, 4059.99999959, 4090.76923043, 4108.20512793, 4065.12820472, 4121.79487152, 4155.64102544, 4166.15384595, 4103.71794844, 4184.87179474, 3638.84615253, 4041.92307651, 4139.74358954,0
3858.58974276, 3809.35897346, 4021.28205080, 4046.66666625, 4054.99999959, 4008.84615336, 4070.12820478, 4124.48717921, 4158.84615364, 4047.82051241, 4148.33333313, 3598.46153708, 3990.76923022, 4139.23076903,0
3841.02564020, 3765.76922973, 3987.82051227, 4002.17948663, 4016.02564054, 3962.82051220, 4038.71794830, 4097.05128171, 4153.33333313, 4013.71794824, 4112.69230742, 3563.84615239, 3947.82051220, 4141.28205108,0
3826.41025551, 3720.64102453, 3951.53846092, 3949.61538399, 3972.69230714, 3918.46153777, 4006.28205080, 4062.43589702, 4139.61538441, 3974.74358919, 4069.99999966, 3522.69230617, 3899.74358898, 4141.15384595,0
