AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4166.79487159, 4148.07692287, 4161.53846133, 4154.48717928, 4121.66666639, 4123.46153819, 4122.82051255, 4136.53846133, 4145.76923056, 4119.74358947, 4134.23076896, 4172.05128192, 4120.38461511, 4126.79487152,0
4155.12820492, 4137.43589723, 4144.10256390, 4144.99999980, 4118.84615357, 4107.05128178, 4106.15384588, 4125.64102537, 4132.17948691, 4101.66666632, 4122.05128178, 4152.05128185, 4098.07692273, 4124.99999973,0
4148.20512800, 4136.28205108, 4141.92307672, 4150.64102544, 4125.12820485, 4109.74358947, 4109.74358947, 4126.92307665, 4132.17948691, 4096.41025607, 4118.20512793, 4146.53846133, 4094.99999966, 4117.05128178,0
4169.87179474, 4141.02564082, 4150.89743569, 4151.53846133, 4122.94871767, 4123.46153819, 4127.82051255, 4140.25641005, 4144.99999980, 4110.76923050, 4130.89743562, 4157.30769210, 4117.43589716, 4125.76923050,0
4174.74358961, 4134.74358947, 4150.76923056, 4136.02564082, 4117.30769203, 4125.51282024, 4131.02564075, 4138.58974339, 4144.87179467, 4118.84615357, 4138.84615364, 4161.41025621, 4124.48717921, 4128.07692280,0
4159.74358954, 4135.76923056, 4150.76923056, 4142.94871774, 4124.23076896, 4125.12820485, 4127.94871767, 4129.74358947, 4138.07692287, 4111.92307665, 4133.84615357, 4161.53846133, 4112.82051255, 4118.71794844,0
4160.51282031, 4138.84615364, 4150.89743569, 4154.61538441, 4125.25640998, 4122.05128178, 4128.46153819, 4132.43589716, 4133.33333306, 4095.76923043, 4117.30769203, 4157.30769210, 4099.23076889, 4119.99999973,0
4162.94871774, 4132.30769203, 4149.23076903, 4142.69230749, 4112.82051255, 4115.89743562, 4130.76923050, 4141.53846133, 4137.56410236, 4095.89743555, 4113.20512793, 4153.58974339, 4097.05128171, 4120.38461511,0
4156.15384595, 4135.89743569, 4151.28205108, 4138.33333313, 4114.48717921, 4118.58974332, 4132.30769203, 4142.43589723, 4144.48717928, 4112.69230742, 4121.92307665, 4156.41025621, 4102.17948684, 4114.99999973,0
4162.43589723, 4138.07692287, 4145.64102544, 4138.58974339, 4123.58974332, 4117.94871767, 4124.10256383, 4132.69230742, 4132.56410229, 4102.43589709, 4106.79487152, 4146.79487159, 4092.30769196, 4123.46153819,0
4167.69230749, 4132.94871767, 4143.46153826, 4132.05128178, 4119.48717921, 4117.94871767, 4123.46153819, 4131.53846126, 4126.53846126, 4094.10256376, 4101.92307658, 4144.23076903, 4089.61538427, 4128.84615357,0
4158.46153826, 4134.23076896, 4147.56410236, 4138.97435877, 4120.38461511, 4121.66666639, 4126.41025614, 4130.89743562, 4131.28205101, 4102.05128171, 4115.76923050, 4153.07692287, 4095.76923043, 4122.43589716,0
4152.56410236, 4126.79487152, 4133.33333306, 4140.64102544, 4124.87179460, 4109.23076896, 4107.30769203, 4114.48717921, 4116.28205101, 4083.33333299, 4099.35897402, 4135.76923056, 4078.33333299, 4123.97435870,0
