AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
3980.76923022, 3998.71794817, 3984.10256355, 3967.05128143, 3984.23076868, 3993.33333278, 3991.28205073, 3998.97435842, 3991.41025586, 3989.74358919, 3966.79487117, 3974.35897381, 3985.38461483, 4106.15384588,0
3977.94871740, 3998.07692252, 3988.84615329, 3978.20512765, 3980.12820458, 3988.20512765, 3982.17948663, 3990.38461483, 3985.38461483, 3989.35897381, 3974.10256355, 3975.25640970, 3976.41025586, 4100.89743555,0
3979.10256355, 3991.92307637, 3985.38461483, 3969.99999938, 3971.15384553, 3976.53846099, 3966.92307630, 3979.99999945, 3979.35897381, 3980.64102509, 3969.48717887, 3969.61538399, 3971.41025586, 4107.69230742,0
3973.71794817, 3988.97435842, 3973.97435842, 3959.99999938, 3972.43589688, 3973.84615329, 3960.12820451, 3983.07692252, 3983.71794817, 3977.56410201, 3957.17948656, 3966.02564040, 3972.43589688, 4101.02564068,0
3971.41025586, 3999.87179432, 3978.46153791, 3976.02564047, 3982.05128150, 3986.41025586, 3971.28205073, 3992.69230714, 3992.30769176, 3983.84615329, 3959.99999938, 3975.51281996, 3978.46153791, 4096.28205094,0
3981.92307637, 4001.92307637, 3988.71794817, 3972.69230714, 3982.56410201, 3992.05128150, 3981.15384560, 3993.58974304, 3993.33333278, 3990.12820458, 3969.74358912, 3979.74358919, 3985.38461483, 4107.56410229,0
3985.51281996, 3999.35897381, 3987.69230714, 3960.89743528, 3983.58974304, 3993.84615329, 3983.46153791, 3995.51281996, 3996.28205073, 3991.79487124, 3971.79487124, 3976.53846099, 3988.84615329, 4105.38461511,0
3985.51281996, 3999.35897381, 3987.69230714, 3960.89743528, 3983.58974304, 3993.84615329, 3983.46153791, 3995.51281996, 3996.28205073, 3991.79487124, 3971.79487124, 3976.53846099, 3988.84615329, 4105.38461511,0
3987.05128150, 4011.02564054, 3993.46153791, 3983.33333278, 3993.71794817, 4002.69230714, 3990.38461483, 4005.76923029, 4003.58974304, 3997.30769176, 3975.38461483, 3987.43589688, 3994.61538406, 4104.61538434,0
3989.87179432, 4016.28205080, 4006.15384567, 3997.56410201, 3997.82051227, 4009.10256362, 4000.51281996, 4006.79487131, 4005.12820465, 4012.43589695, 3990.89743535, 4004.23076875, 4007.30769183, 4108.20512793,0
3983.71794817, 4009.99999952, 4007.56410208, 3982.43589688, 3990.76923022, 4008.46153798, 4002.30769176, 4004.23076875, 4005.38461490, 4021.66666618, 4000.25640970, 4006.02564054, 4016.92307644, 4106.41025614,0
3981.41025586, 4010.25640977, 4000.76923022, 3981.02564047, 3987.69230714, 4002.82051227, 3991.92307637, 4004.10256362, 4002.94871740, 4007.56410208, 3989.23076868, 3996.15384560, 4006.92307644, 4108.33333306,0
3989.48717894, 4016.02564054, 4001.41025586, 3994.99999945, 3992.94871740, 3999.35897381, 3982.69230714, 3998.84615329, 3995.25640970, 3994.35897381, 3982.56410201, 3993.33333278, 3995.12820458, 4112.94871767,0
3982.82051227, 4014.48717900, 4002.43589688, 3993.20512765, 3997.56410201, 4001.28205073, 3983.20512765, 3995.51281996, 3991.02564047, 3999.61538406, 3988.20512765, 3995.51281996, 3998.46153791, 4109.35897408,0
3967.56410194, 3996.53846099, 3982.05128150, 3965.89743528, 3984.99999945, 3987.69230714, 3972.56410201, 3989.74358919, 3986.02564047, 3988.46153791, 3969.61538399, 3977.56410201, 3983.84615329, 4104.74358947,0
