AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4019.48717900, 4072.56410222, 4078.84615350, 4067.05128164, 4085.38461504, 4104.74358947, 4101.02564068, 4114.74358947, 4116.15384588, 4105.12820485, 4106.66666639, 4094.35897402, 4098.71794837, 4118.07692280,0
4019.99999952, 4071.53846119, 4067.82051241, 4057.05128164, 4085.64102530, 4109.87179460, 4088.46153812, 4103.20512793, 4105.76923050, 4095.25640991, 4095.64102530, 4085.38461504, 4093.07692273, 4124.99999973,0
4025.38461490, 4066.41025600, 4068.33333292, 4056.41025600, 4077.56410222, 4113.07692280, 4085.76923043, 4100.64102530, 4100.76923043, 4087.43589709, 4081.28205094, 4075.64102530, 4079.23076889, 4125.51282024,0
4025.76923029, 4067.05128164, 4078.71794837, 4061.15384574, 4084.87179453, 4106.66666639, 4091.28205094, 4110.64102537, 4107.82051255, 4097.30769196, 4084.23076889, 4084.10256376, 4088.20512786, 4121.02564075,0
4025.38461490, 4059.48717907, 4073.71794837, 4056.79487138, 4093.97435863, 4108.33333306, 4078.20512786, 4096.02564068, 4102.69230742, 4094.87179453, 4094.10256376, 4082.17948684, 4085.64102530, 4124.61538434,0
4024.74358926, 4084.87179453, 4078.58974325, 4073.07692273, 4094.35897402, 4126.15384588, 4090.51282017, 4091.53846119, 4104.23076896, 4102.43589709, 4107.82051255, 4089.61538427, 4082.82051248, 4117.43589716,0
4035.38461490, 4099.35897402, 4084.10256376, 4080.51282017, 4092.43589709, 4116.28205101, 4104.74358947, 4103.71794844, 4110.51282024, 4107.56410229, 4098.33333299, 4092.69230735, 4081.41025607, 4124.10256383,0
4024.87179439, 4072.17948684, 4066.79487138, 4068.33333292, 4103.58974332, 4099.61538427, 4078.58974325, 4092.82051248, 4105.12820485, 4094.74358940, 4082.43589709, 4070.51282017, 4072.43589709, 4125.25640998,0
4014.48717900, 4072.69230735, 4060.12820472, 4073.84615350, 4101.15384581, 4104.87179460, 4073.84615350, 4081.28205094, 4100.25640991, 4093.46153812, 4090.25640991, 4058.71794830, 4067.30769189, 4119.23076896,0
4026.02564054, 4085.64102530, 4056.79487138, 4077.56410222, 4075.89743555, 4096.15384581, 4095.38461504, 4089.10256376, 4096.02564068, 4083.33333299, 4073.58974325, 4051.79487138, 4053.07692266, 4124.61538434,0
4012.30769183, 4074.87179453, 4046.15384574, 4071.92307658, 4080.89743555, 4089.23076889, 4084.10256376, 4091.79487145, 4094.35897402, 4063.20512779, 4048.58974318, 4044.74358933, 4034.61538413, 4119.87179460,0
4007.43589695, 4068.46153805, 4044.48717907, 4069.74358940, 4093.71794837, 4094.10256376, 4056.66666625, 4082.69230735, 4091.79487145, 4064.61538420, 4054.74358933, 4042.56410215, 4031.28205080, 4125.64102537,0
4020.38461490, 4083.58974325, 4051.41025600, 4078.33333299, 4068.33333292, 4095.38461504, 4076.41025607, 4087.30769196, 4095.12820478, 4083.84615350, 4064.23076882, 4049.35897395, 4062.69230728, 4125.25640998,0
4017.56410208, 4086.66666632, 4057.82051241, 4087.17948684, 4063.84615343, 4099.23076889, 4100.89743555, 4095.64102530, 4103.20512793, 4084.23076889, 4062.05128164, 4063.20512779, 4079.10256376, 4119.23076896,0
4018.71794824, 4064.35897395, 4058.07692266, 4077.94871761, 4090.38461504, 4093.46153812, 4082.30769196, 4089.74358940, 4102.30769196, 4071.02564068, 4064.87179446, 4065.64102523, 4051.15384574, 4128.20512793,0
